name,phone,number_type,stars,area,website
Hotel Kohinoor Residency,+91 81218 68181,mobile,,,
Hotel Palkhi,+919850104500,mobile,,Pimpri,https://hotel-palkhi-fast-food-restaurant.business.site/
Hotel Shivshahi,+919657663089,mobile,,Hadapsar,
Hotel Yellow House,+91 76339 47633,mobile,,,
Swagat Luxury Lodging,+919860745456,mobile,,,
The Highstreet Legacy,+91 90901 68989,mobile,,,
The Orchid,+91 91691 66789,mobile,,,https://www.orchidhotel.com/pune/
Bizz Tamanna Hotel,+91 020 6653 9888,landline,,,https://tamannahotels.com/bizz-tamanna-hotel-hinjawadi-pune/
Cocoon Hotel,+91 20 6624 4444,landline,,Pune,https://www.cocoonpune.com/
Conrad Pune,+91-20-67456745,landline,5,Pune,https://www.hilton.com/en/hotels/pnqcici-conrad-pune/
Courtyard Marriott,+91-21-3566-6666,landline,,,
Courtyard Marriott Hinjawadi,+91 20 4212 2005,landline,,Pune,https://www.marriott.com/en-us/hotels/pnqph-courtyard-pune-hinjewadi/overview/
Deccan Pavilion,02066834567,landline,,,http://www.deccanpavilion.com/
DoubleTree by Hilton Hotel Pune - Chinchwad,+91 20 67313333,landline,,Pimpri,
Eastin Easy Aishwarya Talegaon,+91 2114 667777,landline,,Pune,https://www.eastinhotelsresidences.com/eastineasyaishwaryatalegaon/
Fairfield by Marriott Pune Kharadi,+91 20 6712 1515,landline,,,
Four Points by Sheraton,91 20-67606699,landline,,Viman Nagar,https://www.marriott.com/en-us/hotels/pnqfp-four-points-by-sheraton-hotel-and-serviced-apartments-pune/overview/
Hilton Garden Inn,+91 20 3500 4500,landline,,Pune,https://www.hilton.com/en/hotels/pnqhpgi-hilton-garden-inn-pune-hinjawadi
Holiday Inn Express Pune Pimpri,20-66354444,landline,,Pune,https://www.ihg.com/holidayinnexpress/hotels/us/en/pune-pimpri/pnqpp/hoteldetail
Hotel Amantran,07387563131,landline,,Pimpri,https://hotel-amantran-veg-non-veg.business.site/?utm_source=gmb&utm_medium=referral
Hotel Bhairavee,+91 20 2729 3999,landline,,Baner,
Hotel Sheetal,+91 20 2553 5165,landline,,Pune,https://hotelsheetal.net
Hotel Shreyas,020-25532023,landline,,Ganeshwadi,https://www.hotelshreyas.in/
Hyatt Pune,+91 20 4141 1234,landline,,Pune,https://www.hyatt.com/hyatt-hotels/en-US/pnqhy-hyatt-pune
Lemon Tree Premier Pune,+91 020 67684343,landline,,,https://www.lemontreehotels.com/lemon-tree-premier/pune/city-center-pune.aspx
Marriott Suites Pune,+912067257777,landline,,Pune,
Royal Orchid Central,+91 20 4000 3000,landline,,Pune,http://www.royalorchidhotels.com
The Corinthians Club,+91 20 2695 2222,landline,5,Pune,https://www.thecorinthianspune.com/
Vivanta,+91 20 6658 4040,landline,,,https://www.vivantahotels.com/en-in/vivanta-pune-hinjawadi/
"Vivanta By Taj - Blue Diamond, Pune",+91 20 66025555,landline,,Koregaon Park,https://www.vivantabytaj.com/Blue-Diamond-Pune/Overview.html
Westin,+91 20 6721 0000,landline,,Pune,
AISSMS College of Hotel Management,N/A,N/A,,Shivajinagar,
AQUARIUS Resort & Lawns,N/A,N/A,,Pune,
Advait Biryani,N/A,N/A,,,
Akshat Hotel,N/A,N/A,,Pimpri,
Ambience,N/A,N/A,,,
Ambrai lodge,N/A,N/A,,,
Anand hotel,N/A,N/A,,Kharadi,
Apapa Idali Dosa Center,N/A,N/A,,,
Apple Tree,N/A,N/A,,,
Ashish Plaza,N/A,N/A,,,
Ashoka Hotel,N/A,N/A,,Pimpri,
